train_acc,valid_acc,loss
0.0,0.006,6.347112655639648
0.0625,0.046,4.76194429397583
0.0703125,0.0565,4.802440166473389
0.0859375,0.07,4.688610076904297
0.1015625,0.0775,4.3898115158081055
0.109375,0.0865,4.4947052001953125
0.078125,0.0985,4.349004745483398
0.1015625,0.103,4.330995082855225
0.15625,0.0985,4.406929016113281
0.0859375,0.1035,4.211194038391113
0.078125,0.1105,4.495209693908691
0.078125,0.1165,4.1875386238098145
0.1328125,0.1135,4.1475934982299805
0.140625,0.12,4.2598090171813965
0.1640625,0.131,4.073594570159912
0.1796875,0.124,4.0399065017700195
0.15625,0.1255,4.070838928222656
0.1328125,0.1275,3.9749104976654053
0.0859375,0.1275,4.203829765319824
0.1796875,0.1375,4.233297348022461
0.1640625,0.1375,4.102158546447754
0.15625,0.1395,4.025441646575928
0.125,0.137,4.0352678298950195
0.15625,0.1365,3.9609031677246094
0.1640625,0.135,3.8904170989990234
0.2109375,0.1295,3.965914011001587
0.1171875,0.1415,4.340964317321777
0.15625,0.132,4.130424976348877
0.1171875,0.1395,3.909637451171875
0.1875,0.1335,4.059953212738037
0.171875,0.122,3.5514798164367676
0.2265625,0.1355,3.9102721214294434
0.2421875,0.1535,3.9850807189941406
0.1796875,0.145,3.8039727210998535
0.2109375,0.1455,3.8136210441589355
0.2109375,0.152,4.009528160095215
0.2265625,0.1545,3.927882432937622
0.2890625,0.1495,4.074563026428223
0.2578125,0.159,4.050886154174805
0.265625,0.155,3.689762592315674
0.1484375,0.147,3.8692233562469482
0.2578125,0.154,3.8388094902038574
0.234375,0.1575,3.4046034812927246
0.2578125,0.1525,3.6444931030273438
0.2421875,0.1505,3.7762837409973145
0.25,0.1505,3.7339797019958496
0.2265625,0.151,3.828207492828369
0.2578125,0.157,3.9226222038269043
0.3203125,0.16,3.7715039253234863
0.25,0.15,3.879246711730957
0.203125,0.1455,3.790452241897583
0.3515625,0.151,4.199550151824951
0.2890625,0.157,3.959169864654541
0.25,0.1485,3.9803848266601562
0.1953125,0.15,3.8398165702819824
0.3125,0.151,4.081979751586914
0.296875,0.155,3.368961811065674
0.28125,0.1525,3.696139335632324
0.3046875,0.151,3.5043606758117676
0.2109375,0.1425,3.8983917236328125
0.2421875,0.1555,3.846458911895752
0.3125,0.1525,3.6415348052978516
0.28125,0.151,3.719695568084717
0.265625,0.1535,3.4210543632507324
0.34375,0.159,3.7683568000793457
0.3203125,0.1585,3.498671293258667
0.2421875,0.1545,3.7949728965759277
0.3125,0.1525,3.854189395904541
0.3515625,0.155,3.5000147819519043
0.3515625,0.1575,3.4934520721435547
